# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# NMod      log(t)         H/He  log(L/Ls)  Log(Teff)    log(Tc)  log(rhoc)      Tmax     MTmax     M-cc      M-Hec      M-ce        L-pp       L-cno     L-3alfa       L-gra     He_sup   log(Tce)   Rce/Rtot      R/Rsun     log(g)     M/Msun        mdot     Lacc/L    log(tkh)   log(tacc)  t_conv_gl.  Mix.Len.
# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    63  4.10096503  0.71295E+00   1.717615   3.637841   5.911761  -2.218808   0.00000   0.00000   0.00000   0.00000   0.00000  0.1436E-03  0.0000E+00  0.0000E+00  0.9998E+00   0.274000   5.911761   0.000000   12.775708   2.339001   1.300000  0.0000E+00   0.000000  0.4599E+01 -0.9900E+02   1.882834   1.760000
    64  4.12841283  0.71295E+00   1.701597   3.638753   5.921227  -2.190413   0.00000   0.00000   0.00000   0.00000   0.00000  0.2110E-03  0.0000E+00  0.0000E+00  0.9997E+00   0.274000   5.921227   0.000000   12.489709   2.358666   1.300000  0.0000E+00   0.000000  0.4624E+01 -0.9900E+02   1.878095   1.760000
    65  4.15579607  0.71295E+00   1.685435   3.639637   5.930707  -2.161972   0.00000   0.00000   0.00000   0.00000   0.00000  0.3098E-03  0.0000E+00  0.0000E+00  0.9996E+00   0.274000   5.930707   0.000000   12.209646   2.378365   1.300000  0.0000E+00   0.000000  0.4650E+01 -0.9900E+02   1.873582   1.760000
    66  4.18308239  0.71295E+00   1.669309   3.640526   5.940188  -2.133525   0.00000   0.00000   0.00000   0.00000   0.00000  0.4539E-03  0.0000E+00  0.0000E+00  0.9994E+00   0.274000   5.940188   0.000000   11.936083   2.398047   1.300000  0.0000E+00   0.000000  0.4676E+01 -0.9900E+02   1.868920   1.760000
    67  4.21030221  0.71295E+00   1.653167   3.641412   5.949679  -2.105055   0.00000   0.00000   0.00000   0.00000   0.00000  0.6638E-03  0.0000E+00  0.0000E+00  0.9992E+00   0.274000   5.949679   0.000000   11.668612   2.417732   1.300000  0.0000E+00   0.000000  0.4702E+01 -0.9900E+02   1.864147   1.760000
    68  4.23745556  0.71295E+00   1.636923   3.642274   5.959174  -2.076568   0.00000   0.00000   0.00000   0.00000   0.00000  0.9692E-03  0.0000E+00  0.0000E+00  0.9989E+00   0.274000   5.959174   0.000000   11.406999   2.437428   1.300000  0.0000E+00   0.000000  0.4728E+01 -0.9900E+02   1.859162   1.760000
    69  4.26454077  0.71295E+00   1.620697   3.643140   5.968670  -2.048070   0.00000   0.00000   0.00000   0.00000   0.00000  0.1412E-02  0.0000E+00  0.0000E+00  0.9985E+00   0.274000   5.968670   0.000000   11.151352   2.457116   1.300000  0.0000E+00   0.000000  0.4755E+01 -0.9900E+02   1.853976   1.760000
    70  4.29157667  0.71295E+00   1.604482   3.644003   5.978171  -2.019555   0.00000   0.00000   0.00000   0.00000   0.00000  0.2054E-02  0.0000E+00  0.0000E+00  0.9978E+00   0.274000   5.978171   0.000000   10.901672   2.476785   1.300000  0.0000E+00   0.000000  0.4781E+01 -0.9900E+02   1.848113   1.760000
    71  4.31859394  0.71295E+00   1.588199   3.644856   5.987681  -1.991012   0.00000   0.00000   0.00000   0.00000   0.00000  0.2982E-02  0.0000E+00  0.0000E+00  0.9969E+00   0.274000   5.987681   0.000000   10.657283   2.496478   1.300000  0.0000E+00   0.000000  0.4807E+01 -0.9900E+02   1.841807   1.760000
    72  4.34556269  0.71295E+00   1.571916   3.645705   5.997186  -1.962484   0.00000   0.00000   0.00000   0.00000   0.00000  0.4321E-02  0.0000E+00  0.0000E+00  0.9956E+00   0.274000   5.997186   0.000000   10.418559   2.516155   1.300000  0.0000E+00   0.000000  0.4833E+01 -0.9900E+02   1.834317   1.760000
    73  4.37251159  0.71295E+00   1.555646   3.646551   6.006691  -1.933941   0.00000   0.00000   0.00000   0.00000   0.00000  0.6246E-02  0.0000E+00  0.0000E+00  0.9937E+00   0.274000   6.006691   0.000000   10.185419   2.535813   1.300000  0.0000E+00   0.000000  0.4859E+01 -0.9900E+02   1.825701   1.760000
    74  4.39947273  0.71295E+00   1.539376   3.647399   6.016200  -1.905388   0.00000   0.00000   0.00000   0.00000   0.00000  0.9013E-02  0.0000E+00  0.0000E+00  0.9909E+00   0.274000   6.016200   0.000000    9.957465   2.555473   1.300000  0.0000E+00   0.000000  0.4885E+01 -0.9900E+02   1.815100   1.760000
    75  4.42644707  0.71295E+00   1.523136   3.648245   6.025703  -1.876859   0.00000   0.00000   0.00000   0.00000   0.00000  0.1297E-01  0.0000E+00  0.0000E+00  0.9869E+00   0.274000   6.025703   0.000000    9.735030   2.575096   1.300000  0.0000E+00   0.000000  0.4911E+01 -0.9900E+02   1.801926   1.760000
    76  4.45348436  0.71295E+00   1.506907   3.649091   6.035200  -1.848349   0.00000   0.00000   0.00000   0.00000   0.00000  0.1863E-01  0.0000E+00  0.0000E+00  0.9813E+00   0.274000   6.035200   0.000000    9.517675   2.594709   1.300000  0.0000E+00   0.000000  0.4937E+01 -0.9900E+02   1.785542   1.760000
    77  4.48059726  0.71295E+00   1.490718   3.649933   6.044675  -1.819899   0.00000   0.00000   0.00000   0.00000   0.00000  0.2667E-01  0.0000E+00  0.0000E+00  0.9732E+00   0.274000   6.044675   0.000000    9.305759   2.614267   1.300000  0.0000E+00   0.000000  0.4963E+01 -0.9900E+02   1.765121   1.760000
