     R/Rsun        theta        Omega(1/ns) Unknown
     0.978567      1.11265      364.627    0.0879068
     0.983589      1.11265      363.290    0.0653780
     0.987668      1.11265      362.017    0.0592833
     0.990765      1.11265      360.925    0.0718128
     0.993061      1.11265      360.051    0.0907474
     0.994808      1.11265      359.352     0.109294
     0.996168      1.11265      358.789     0.125617
     0.997251      1.11265      358.331     0.139532
     0.998128      1.11265      357.957     0.151256
     0.998842      1.11265      357.650     0.161030
     0.999417      1.11265      357.403     0.169018
     0.999861      1.11265      357.212     0.175262
      1.00019      1.11265      357.072     0.179888
      1.00046      1.11265      356.956     0.183713
      1.00071      1.11265      356.846     0.187344
     0.400260      1.07992      427.141     0.543428
     0.442229      1.07992      427.413     0.437889
     0.482450      1.07992      427.155     0.357455
     0.521026      1.07992      427.431     0.303248
     0.558060      1.07992      426.722     0.287124
     0.593637      1.07992      425.545     0.291063
     0.627809      1.07992      425.169     0.291623
     0.660583      1.07992      421.671     0.283757
     0.691917      1.07992      410.695     0.269195
     0.721641      1.07992      394.292     0.251100
     0.749417      1.07992      380.123     0.230663
     0.775293      1.07992      372.690     0.210331
     0.799374      1.07992      370.625     0.191152
     0.821755      1.07992      370.575     0.173407
     0.842515      1.07992      370.808     0.157910
     0.861725      1.07992      371.199     0.145396
     0.879442      1.07992      371.669     0.135133
     0.895717      1.07992      371.739     0.126151
     0.910598      1.07992      371.531     0.118882
     0.924122      1.07992      371.473     0.113441
     0.936327      1.07992      371.846     0.114424
     0.947243      1.07992      372.384     0.126123
     0.956899      1.07992      372.582     0.137578
     0.965319      1.07992      372.194     0.133858
     0.972523      1.07992      371.310     0.115050
     0.978567      1.07992      370.108    0.0896965
     0.983589      1.07992      368.757    0.0661345
     0.987668      1.07992      367.392    0.0565220
     0.990765      1.07992      366.207    0.0665108
     0.993061      1.07992      365.261    0.0848637
     0.994808      1.07992      364.503     0.103604
     0.996168      1.07992      363.892     0.120338
     0.997251      1.07992      363.395     0.134691
     0.998128      1.07992      362.989     0.146816
     0.998842      1.07992      362.656     0.156937
     0.999417      1.07992      362.388     0.165214
     0.999861      1.07992      362.181     0.171685
      1.00019      1.07992      362.028     0.176480
      1.00046      1.07992      361.902     0.180445
      1.00071      1.07992      361.784     0.184209
     0.400260      1.04720      427.178     0.543687
     0.442229      1.04720      427.474     0.438277
     0.482450      1.04720      427.262     0.357620
     0.521026      1.04720      427.624     0.302008
     0.558060      1.04720      426.968     0.283364
     0.593637      1.04720      425.757     0.284987
     0.627809      1.04720      425.462     0.284017
     0.660583      1.04720      422.333     0.275359
     0.691917      1.04720      412.021     0.260439
     0.721641      1.04720      396.388     0.242063
     0.749417      1.04720      382.923     0.221243
     0.775293      1.04720      376.081     0.200685
     0.799374      1.04720      374.472     0.181649
     0.821755      1.04720      374.730     0.164405
     0.842515      1.04720      375.183     0.149698
     0.861725      1.04720      375.791     0.138235
     0.879442      1.04720      376.479     0.129037
     0.895717      1.04720      376.703     0.120702
     0.910598      1.04720      376.591     0.113498
     0.924122      1.04720      376.603     0.107359
     0.936327      1.04720      377.030     0.106597
     0.947243      1.04720      377.603     0.117448
     0.956899      1.04720      377.832     0.131009
     0.965319      1.04720      377.490     0.130681
