#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
    38  3.18718387  0.72514E+00   2.12357   3.60941   5.63948  -2.97416   0.00000   0.00000  0.00000  0.00000   0.00000  0.106E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6395  2.4458  23.2395  1.7953  1.230000  0.000E+00  2.12357E+00  0.00000E+00  0.00000E+00    3.88470  -99.00000   13.02915   33.15513   35.41491        1.911376E+00    0.00000  2.022714E+47  2.000000E+00
    39  3.22973399  0.72514E+00   2.10953   3.61082   5.64871  -2.94663   0.00000   0.00000  0.00000  0.00000   0.00000  0.164E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6487  2.4458  22.7183  1.8150  1.230000  0.000E+00  2.10953E+00  0.00000E+00  0.00000E+00    3.90860  -99.00000   12.85298   32.78824   35.04556        1.903486E+00    0.00000  2.064231E+47  2.000000E+00
    40  3.27059717  0.72514E+00   2.09316   3.61161   5.65791  -2.91919   0.00000   0.00000  0.00000  0.00000   0.00000  0.254E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6579  2.4458  22.2140  1.8345  1.230000  0.000E+00  2.09316E+00  0.00000E+00  0.00000E+00    3.93471  -99.00000   12.67722   32.42241   34.67728        1.899225E+00    0.00000  2.106516E+47  2.000000E+00
    41  3.31025023  0.72514E+00   2.07899   3.61301   5.66718  -2.89151   0.00000   0.00000  0.00000  0.00000   0.00000  0.392E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6672  2.4458  21.7138  1.8543  1.230000  0.000E+00  2.07899E+00  0.00000E+00  0.00000E+00    3.95877  -99.00000   12.50322   32.06046   34.31287        1.891673E+00    0.00000  2.150082E+47  2.000000E+00
    42  3.34843774  0.72514E+00   2.06259   3.61378   5.67638  -2.86404   0.00000   0.00000  0.00000  0.00000   0.00000  0.606E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6764  2.4458  21.2322  1.8737  1.230000  0.000E+00  2.06259E+00  0.00000E+00  0.00000E+00    3.98492  -99.00000   12.32885   31.69796   33.94790        1.887512E+00    0.00000  2.194344E+47  2.000000E+00
    43  3.38577360  0.72514E+00   2.04622   3.61458   5.68563  -2.83643   0.00000   0.00000  0.00000  0.00000   0.00000  0.935E-08  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6856  2.4458  20.7587  1.8933  1.230000  0.000E+00  2.04622E+00  0.00000E+00  0.00000E+00    4.01108  -99.00000   12.15683   31.34055   33.58803        1.883351E+00    0.00000  2.239796E+47  2.000000E+00
    44  3.42214828  0.72514E+00   2.03194   3.61595   5.69491  -2.80871   0.00000   0.00000  0.00000  0.00000   0.00000  0.143E-07  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6949  2.4458  20.2923  1.9131  1.230000  0.000E+00  2.03194E+00  0.00000E+00  0.00000E+00    4.03522  -99.00000   11.98503   30.98380   33.22882        1.876054E+00    0.00000  2.286463E+47  2.000000E+00
    45  3.45756640  0.72514E+00   2.01533   3.61668   5.70415  -2.78109   0.00000   0.00000  0.00000  0.00000   0.00000  0.220E-07  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7042  2.4458  19.8406  1.9326  1.230000  0.000E+00  2.01533E+00  0.00000E+00  0.00000E+00    4.06161  -99.00000   11.81359   30.62801   32.87057        1.872289E+00    0.00000  2.333980E+47  2.000000E+00
    46  3.49231976  0.72514E+00   1.99887   3.61746   5.71342  -2.75339   0.00000   0.00000  0.00000  0.00000   0.00000  0.338E-07  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7134  2.4458  19.3987  1.9522  1.230000  0.000E+00  1.99887E+00  0.00000E+00  0.00000E+00    4.08785  -99.00000   11.64389   30.27604   32.51614        1.868389E+00    0.00000  2.382672E+47  2.000000E+00
    47  3.52644584  0.72514E+00   1.98463   3.61885   5.72274  -2.72551   0.00000   0.00000  0.00000  0.00000   0.00000  0.516E-07  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7227  2.4458  18.9615  1.9720  1.230000  0.000E+00  1.98463E+00  0.00000E+00  0.00000E+00    4.11200  -99.00000   11.47483   29.92562   32.16326        1.861072E+00    0.00000  2.432773E+47  2.000000E+00
